"","G6_Skin_Fixed_24_A1","G6_Skin_Fixed_24_A2","G6_Skin_Fixed_24_A3","G6_Skin_Fixed_24_A4","G6_Skin_Fixed_24_B1","G6_Skin_Fixed_24_B2","G6_Skin_Fixed_24_B3","G6_Skin_Fixed_24_B4","G6_Skin_Fixed_24_C1","G6_Skin_Fixed_24_C2","G6_Skin_Fixed_24_C3","G6_Skin_Fixed_24_C4","G6_Skin_Fixed_24_D1","G6_Skin_Fixed_24_D2","G6_Skin_Fixed_24_D3","G6_Skin_Fixed_24_D4","G6_Skin_FL_2500_A1","G6_Skin_FL_2500_A2","G6_Skin_FL_2500_A3","G6_Skin_FL_2500_A4","G6_Skin_FL_2500_B1","G6_Skin_FL_2500_B2","G6_Skin_FL_2500_B3","G6_Skin_FL_2500_B4","G6_Skin_FL_2500_C1","G6_Skin_FL_2500_C2","G6_Skin_FL_2500_C3","G6_Skin_FL_2500_C4","G6_Skin_FL_2500_D1","G6_Skin_FL_2500_D2","G6_Skin_FL_2500_D3","G6_Skin_FL_2500_D4","G4_Feces_Fixed_24_A2","G4_Feces_Fixed_24_A3","G4_Feces_Fixed_24_A4","G4_Feces_Fixed_24_B1","G4_Feces_Fixed_24_B2","G4_Feces_Fixed_24_B3","G4_Feces_Fixed_24_B4","G4_Feces_Fixed_24_C1","G4_Feces_Fixed_24_C2","G4_Feces_Fixed_24_C3","G4_Feces_Fixed_24_C4","G4_Feces_Fixed_24_D1","G4_Feces_Fixed_24_D2","G4_Feces_Fixed_24_D3","G4_Feces_Fixed_24_D4","G4_Feces_FL_350_A1","G4_Feces_FL_350_A2","G4_Feces_FL_350_A3","G4_Feces_FL_350_A4","G4_Feces_FL_350_B1","G4_Feces_FL_350_B2","G4_Feces_FL_350_B3","G4_Feces_FL_350_B4","G4_Feces_FL_350_C1","G4_Feces_FL_350_C2","G4_Feces_FL_350_C3","G4_Feces_FL_350_C4","G4_Feces_FL_350_D1","G4_Feces_FL_350_D2","G4_Feces_FL_350_D3","G4_Feces_FL_350_D4","G7_Soil_Fixed_24_A1","G7_Soil_Fixed_24_A2","G7_Soil_Fixed_24_A3","G7_Soil_Fixed_24_A4","G7_Soil_Fixed_24_B1","G7_Soil_Fixed_24_B2","G7_Soil_Fixed_24_B3","G7_Soil_Fixed_24_B4","G7_Soil_Fixed_24_C1","G7_Soil_Fixed_24_C2","G7_Soil_Fixed_24_C3","G7_Soil_Fixed_24_C4","G7_Soil_Fixed_24_D1","G7_Soil_Fixed_24_D2","G7_Soil_Fixed_24_D3","G7_Soil_Fixed_24_D4","G7_Soil_FL_5000_A1","G7_Soil_FL_5000_A2","G7_Soil_FL_5000_A3","G7_Soil_FL_5000_A4","G7_Soil_FL_5000_B1","G7_Soil_FL_5000_B2","G7_Soil_FL_5000_B3","G7_Soil_FL_5000_B4","G7_Soil_FL_5000_C1","G7_Soil_FL_5000_C2","G7_Soil_FL_5000_C3","G7_Soil_FL_5000_C4","G7_Soil_FL_5000_D1","G7_Soil_FL_5000_D2","G7_Soil_FL_5000_D3","G7_Soil_FL_5000_D4"
"g__Blastopirellula",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Blautia",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,6,5,0,0,0,0,0,0,0,24,36,20,26,36,55,32,22,40,47,27,13,30,53,41,0,90,78,82,81,106,0,0,50,76,114,105,32,91,52,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Blfdi19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,3,1,0,2,0,0,2,4,0,2,0,0,0,4,0,2,0,4,0,2,5,0
"g__Boeremia",0,7,4,0,4,0,1,0,0,0,4,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Bordetella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Bosea",0,2,0,8,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,3,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,5,3,3,12,7,2,14,9,2,6,13,11,28,16,0,44,1,0,44,23,0,14,25,57,0,21,47,32
"g__Brachybacterium",2,12,8,7,7,0,12,15,4,14,11,21,3,1,1,21,0,15,0,6,8,17,23,8,19,16,6,12,15,10,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
"g__Bradyrhizobium",14,108,102,119,26,9,84,121,34,70,106,200,45,85,93,155,0,147,0,124,88,86,159,126,127,88,111,116,107,71,114,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,141,132,56,102,160,159,61,77,151,159,31,62,138,155,377,217,17,476,10,0,367,315,14,241,368,635,16,231,413,416
"g__Brevibacterium",487,1884,1807,2001,862,335,1544,2307,987,1561,1872,3019,1246,1653,1511,2823,8,2166,2,2500,2765,2144,3004,2225,2802,2369,2713,2256,2018,1760,2468,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,2,3,4,0,2,2,3,5,2,2,6
"g__Brevifollis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0
"g__Brevundimonas",1,9,8,4,5,0,3,2,2,12,4,5,2,10,9,12,0,22,0,19,11,9,16,0,1,7,5,3,11,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,16,1,5,16,19,4,16,4,11,0,14,7,20,44,36,4,67,0,0,45,37,2,28,56,97,0,23,35,60
"g__Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,73,88,14,34,106,108,30,36,68,66,11,38,63,164,178,90,4,280,2,0,205,161,2,121,260,484,2,108,207,240
"g__BSV13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"g__Buchnera",0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,6,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Burkholderia-Caballeronia-Paraburkholderia",53,445,647,643,104,58,462,671,82,405,547,886,156,500,505,878,8,630,6,744,410,564,909,533,482,855,679,573,393,406,605,515,93,91,84,60,80,104,92,25,77,109,77,30,56,89,56,3,119,130,129,108,143,0,1,50,147,147,133,42,141,76,157,0,16,22,16,4,10,26,19,4,2,23,23,9,9,15,22,36,19,15,66,2,0,75,38,0,20,57,90,6,22,57,56
"g__Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,14,10,12,14,7,10,12,7,4,5,13,7,0,27,22,18,14,20,0,0,1,30,27,22,11,21,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8,2,0,4,3,0,0,1,2,0,0,4,3,0,4,7,0,0,4,5,14,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Byssovorax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0
"g__C0119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,20,2,0,7,16,2,4,13,22,0,2,11,13,25,13,1,44,0,0,31,22,2,14,32,37,0,22,34,58
"g__Caenimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,7,10,10,23,7,4,5,12,10,2,2,7,19,19,12,1,36,1,0,27,28,1,12,32,45,0,14,44,41
"g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,1,0,0,2,0,0,0,2,5,0,0,0,0,1,4,7,2,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Calothrix_PCC-6303",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Campylobacter",0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,5,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Accumulibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0
"g__Candidatus_Alysiosphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,62,39,17,37,85,44,23,42,47,59,9,23,52,44,137,111,2,200,4,0,168,121,2,116,201,254,2,90,206,200
"g__Candidatus_Amoebophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"g__Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,3,0,4,0,1,0,7,3,1,0,0,1,0,4,9,4,6,0,0,0,0,4,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Captivus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"g__Candidatus_Cardinium",0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Chloroploca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0
"g__Candidatus_Daviesbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,1
"g__Candidatus_Entotheonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,3,12,14,20,5,16,19,17,3,11,16,20,43,26,0,52,0,0,50,47,2,28,44,87,2,29,48,46
"g__Candidatus_Jidaibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Koribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,2,0,1,7,0,4,0,0,10,7,0,6,11,11,0,4,11,8
"g__Candidatus_Levybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,1,2,3,0,1,1,2,0,0,2,2,0,2,0,5,0,0,3,0,0,0,5,0,0,4,3,5
"g__Candidatus_Moranbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,2,2,0,2,3,1,0,1,0,4,2,0,0,2,0,0,0,0,0,0,4,7,0,2,0,2
"g__Candidatus_Nitrocosmicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"g__Candidatus_Nitrososphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,13,1,0,0,7,8,0,0,1,2,1,3,0,0,0,0,4,2,0,1,4,6,0,2,7,0
"g__Candidatus_Obscuribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"g__Candidatus_Omnitrophus",5,14,8,0,3,1,7,0,4,7,3,0,2,6,9,0,0,0,0,0,4,2,8,0,3,3,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,14,0,0,8,11,0,1,0,11,0,0,1,7,0,0,0,2,0,0,0,1,0,0,1,3,0,0,0,3
"g__Candidatus_Ovatusbacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,1,1,1,0
"g__Candidatus_Peribacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Saccharimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,261,383,264,148,273,337,263,137,248,368,266,115,198,372,249,0,258,266,253,228,334,0,0,134,270,274,207,108,335,116,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Solibacter",0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,0,4,14,13,2,10,10,21,1,7,5,26,37,24,1,42,1,0,47,40,2,9,40,88,0,18,42,39
"g__Candidatus_Spiroplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
"g__Candidatus_Udaeobacter",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,0,0,0,0,1,1,0,1,0,5,2,0,2,0,0,1,1,0,0,3,6,0,3,0,6
"g__Candidatus_Uzinura",0,2,0,16,0,0,6,0,2,3,0,2,0,0,0,3,0,0,0,0,2,0,4,5,8,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candidatus_Xiphinematobacter",0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
"g__Capnocytophaga",0,1,4,13,0,0,7,3,0,5,4,1,1,0,4,4,0,1,0,7,0,3,0,4,8,0,14,0,4,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Cardiobacterium",0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Catellatospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,3,0,0,1,0,3
"g__Catelliglobosispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"g__Catenuloplanes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,9,8,7,7,2,6,13,6,0,3,4,11,7,8,0,11,1,0,8,6,1,10,20,26,0,9,12,12
"g__Caulobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44,45,9,10,73,35,12,19,34,43,2,32,34,54,77,72,3,161,0,0,130,108,3,70,118,212,1,61,149,121
"g__CCD24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18,5,15,37,23,13,20,29,33,1,22,15,33,58,49,4,81,2,0,76,62,1,46,75,131,3,35,108,94
"g__Cellulomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,73,46,36,17,59,73,29,39,62,50,10,34,67,72,147,139,1,171,3,0,164,113,1,113,140,253,0,117,210,145
"g__Cellulosimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,2,0,0,2,8,2,0,0,0,0,1,0,0,2,2,8,0,1,0,5
"g__Cellvibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,8,0,13,13,0,10,4,13,3,7,10,18,31,17,0,41,2,0,54,28,1,16,32,59,1,24,20,34
"g__Chiayiivirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,6,1,0,1,0,0,1,0,0,2,4,5,0,3,4,4
"g__Chitinophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,51,62,19,22,80,77,11,26,62,54,5,16,26,92,101,68,3,110,1,0,130,100,5,84,114,210,0,75,111,117
"g__Chloronema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
